City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,la ronge,55.1001,-105.2842,-9.86,67,100,11.83,CA,1702306174
82,cudillero,43.5622,-6.1459,19.51,65,20,0.0,ES,1702306174
83,nova sintra,14.8667,-24.7167,23.5,61,1,7.23,CV,1702306174
84,tralee,52.2704,-9.7026,12.14,94,75,4.12,IE,1702306174
85,dien bien phu,21.3833,103.0167,21.17,82,33,0.9,VN,1702306174
86,zakynthos,37.7914,20.8953,15.62,63,20,1.54,GR,1702306174
87,colonia,50.9333,6.95,10.97,83,100,6.69,DE,1702305964
88,vasteras,59.6162,16.5528,-0.05,93,100,5.14,SE,1702306174
89,puerto ayora,-0.7393,-90.3518,25.98,78,42,3.63,EC,1702306174
90,badger,64.8,-147.5333,-9.07,79,100,2.57,US,1702306174
91,grand falls-windsor,48.9332,-55.6649,10.28,91,100,2.68,CA,1702305994
92,mikuni,36.2171,136.1519,8.95,92,100,3.49,JP,1702306174
93,anadyr,64.75,177.4833,-26.67,82,0,4.0,RU,1702306174
94,qarazhal,48.0078,70.7903,-21.4,82,67,8.9,KZ,1702306174
95,manay,7.215,126.5397,25.41,79,27,3.41,PH,1702306174
96,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.14,EC,1702306174
97,bethel,41.3712,-73.414,4.17,88,100,2.06,US,1702306175
98,pasni,25.2631,63.471,24.77,47,6,5.43,PK,1702306175
99,qaqortoq,60.7167,-46.0333,-2.42,91,100,6.58,GL,1702306175
100,el naranjo,21.4667,-98.6,15.18,62,100,0.25,MX,1702306175
101,liminka,64.8099,25.4155,-10.59,85,100,3.6,FI,1702306175
102,talnakh,69.4865,88.3972,-27.76,98,100,4.28,RU,1702306175
103,trapani,37.8333,12.6667,16.82,77,40,4.63,IT,1702306175
104,margaret river,-33.95,115.0667,16.15,82,0,3.85,AU,1702306175
105,ostersund,63.1792,14.6357,-3.75,100,100,4.63,SE,1702306175
106,punta arenas,-53.15,-70.9167,9.06,49,100,6.17,CL,1702306073
107,neiafu,-18.65,-173.9833,20.38,94,20,0.0,TO,1702306175
108,rouyn-noranda,48.2398,-79.0288,-7.95,67,100,4.12,CA,1702305995
109,ramshir,30.8946,49.4092,23.92,31,100,3.45,IR,1702306175
110,hamilton,39.1834,-84.5333,1.69,83,100,3.6,US,1702306176
111,trincomalee,8.5711,81.2335,26.84,82,53,5.45,LK,1702306176
112,boa vista,2.8197,-60.6733,30.99,55,20,6.17,BR,1702306176
113,singkil,-7.9855,111.4161,24.42,83,100,2.3,ID,1702306176
114,kutum,14.2,24.6667,26.69,12,80,5.52,SD,1702306176
115,manta,-0.95,-80.7333,25.88,83,100,2.06,EC,1702306176
116,guerrero negro,27.9769,-114.0611,16.13,53,94,1.96,MX,1702305889
117,verkhotur'ye,58.8627,60.8054,-34.84,99,68,1.96,RU,1702306176
118,jamestown,42.097,-79.2353,1.77,87,100,5.66,US,1702306176
119,atafu village,-8.5421,-172.5159,28.12,81,100,10.76,TK,1702306176
120,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,3.09,US,1702306176
121,tazovsky,67.4667,78.7,-23.76,95,100,4.61,RU,1702306176
122,shenjiamen,29.9576,122.298,10.25,78,91,10.38,CN,1702306176
123,federacion,-31.0062,-57.8996,24.77,59,0,4.43,AR,1702306177
124,ostroh,50.3294,26.5143,0.51,90,100,5.03,UA,1702306177
125,chegdomyn,51.1167,133.0167,-30.26,98,61,0.7,RU,1702306177
126,labrador city,52.9463,-66.9114,-5.05,80,100,2.06,CA,1702306177
127,port elizabeth,-33.918,25.5701,24.06,69,20,5.66,ZA,1702306177
128,toamasina,-18.1667,49.3833,30.0,74,20,3.09,MG,1702306177
129,al qadarif,14.0349,35.3834,32.39,17,96,3.66,SD,1702306177
130,vila franca do campo,37.7167,-25.4333,18.27,99,9,5.53,PT,1702306177
131,general acha,-37.377,-64.6043,31.42,24,48,12.46,AR,1702306177
132,kanker,20.2719,81.4931,17.67,69,0,1.29,IN,1702306177
133,keflavik,64.0049,-22.5624,1.24,100,75,2.57,IS,1702306177
134,funafuti,-8.5243,179.1942,28.0,89,75,0.0,TV,1702306177
135,new norfolk,-42.7826,147.0587,10.95,98,85,0.51,AU,1702306177
136,kargat,55.1956,80.2811,-27.36,90,6,6.05,RU,1702306178
137,pacific grove,36.6177,-121.9166,12.27,65,0,4.02,US,1702306021
138,klyuchi,52.2667,79.1667,-22.3,85,93,5.6,RU,1702306178
139,cole harbour,44.6724,-63.4751,15.66,93,100,7.72,CA,1702306178
140,paragominas,-2.9667,-47.4833,31.02,54,97,2.74,BR,1702306178
141,mitsamiouli,-11.3847,43.2844,28.6,74,100,4.85,KM,1702306178
142,ngama,11.7833,17.1667,30.79,12,45,5.02,TD,1702306178
143,udachny,66.4167,112.4,-25.32,96,100,4.79,RU,1702306178
144,naze,28.3667,129.4833,22.51,83,41,6.64,JP,1702306172
145,selkirk,50.1436,-96.8845,-5.48,95,100,4.47,CA,1702306178
146,bataipora,-22.2953,-53.2711,32.27,47,9,0.31,BR,1702306178
147,linxia chengguanzhen,35.6003,103.2064,-0.68,51,0,1.21,CN,1702306178
148,khandyga,62.6667,135.6,-33.94,99,100,0.48,RU,1702306178
149,okhotsk,59.3833,143.3,-10.37,92,100,7.82,RU,1702306178
150,ingeniero jacobacci,-41.3427,-69.5448,21.15,28,100,9.45,AR,1702306178
151,nyrob,60.733,56.7202,-24.88,90,100,3.42,RU,1702306179
152,port saint john's,-31.6229,29.5448,22.77,76,100,4.19,ZA,1702306179
153,hammerfest,70.6634,23.6821,-1.75,93,75,2.57,NO,1702306179
154,anloga,5.7947,0.8973,29.64,67,100,5.59,GH,1702306179
155,lompoc,34.6391,-120.4579,17.66,69,0,2.57,US,1702306179
156,sao francisco,-15.9486,-44.8644,36.73,23,15,3.32,BR,1702306179
157,roma,43.2128,-75.4557,2.2,94,100,3.6,US,1702306082
158,mount pearl,47.5166,-52.7813,8.51,94,100,10.29,CA,1702306179
159,pratt,37.6439,-98.7376,-1.88,69,0,3.09,US,1702306179
160,dubbo,-32.25,148.6167,26.07,57,0,5.14,AU,1702306179
161,wakkanai,45.4094,141.6739,-2.17,64,82,5.36,JP,1702306179
162,gordonvale,-17.0936,145.7842,28.94,88,100,1.2,AU,1702306179
163,konstantinovka,49.6167,127.9833,-28.88,92,5,1.84,RU,1702306179
164,nova vicosa,-17.8919,-39.3719,30.2,58,32,7.7,BR,1702306179
165,tiksi,71.6872,128.8694,-23.69,99,100,4.02,RU,1702306179
166,xiangyang,32.0422,112.1448,3.34,70,100,3.49,CN,1702306179
167,san antonio de pale,-1.4014,5.6325,25.14,87,100,1.18,GQ,1702306180
168,sandnessjoen,66.0217,12.6316,-4.77,74,0,2.06,NO,1702306180
169,atkarsk,51.8718,45.0078,-8.92,63,100,8.73,RU,1702306180
170,nagasaki,32.7447,129.8736,19.91,88,83,5.98,JP,1702306180
171,awjilah,29.1081,21.2869,19.63,43,56,9.55,LY,1702306180
172,yuzhno-kurilsk,44.0306,145.8556,0.76,76,57,1.76,RU,1702306180
173,braslaw,55.644,27.0455,-0.18,97,100,4.9,BY,1702306180
174,cadale,2.7603,46.3222,28.05,76,91,7.67,SO,1702306180
175,pangody,65.85,74.4859,-26.42,89,100,5.34,RU,1702306180
176,kruisfontein,-34.0033,24.7314,22.29,52,0,3.7,ZA,1702306180
177,xinqing,48.2333,129.5,-27.42,98,8,1.38,CN,1702306180
178,mejit,10.2753,170.8646,27.07,71,62,9.31,MH,1702306180
179,sao jose da coroa grande,-8.8978,-35.1478,29.65,58,26,5.36,BR,1702306180
180,masaya sur,16.497,121.7456,24.29,89,31,0.42,PH,1702306180
181,hilton head island,32.2163,-80.7526,10.56,76,20,4.63,US,1702306180
182,rantepao,-2.9701,119.8978,20.68,98,100,1.09,ID,1702306180
183,livingstone,-17.8419,25.8543,29.66,35,99,0.31,ZM,1702305969
184,malango,-2.9627,119.9001,20.68,97,100,1.1,ID,1702306180
185,motygino,58.1831,94.7592,-34.01,99,80,0.89,RU,1702306180
186,sungai udang,2.269,102.1427,25.49,100,40,0.0,MY,1702306181
187,georgetown,5.4112,100.3354,26.08,92,40,0.0,MY,1702306045
188,lorengau,-2.0226,147.2712,27.64,87,100,4.53,PG,1702306181
189,carnarvon,-24.8667,113.6333,24.92,62,0,4.66,AU,1702306181
190,san luis de la loma,17.2706,-100.8939,26.48,68,100,1.68,MX,1702306181
191,lihue,21.9789,-159.3672,24.09,88,75,4.63,US,1702305895
192,bure,10.7,37.0667,19.05,49,99,2.02,ET,1702306181
193,aasiaat,68.7098,-52.8699,-2.45,94,100,5.98,GL,1702306181
194,laguna,38.421,-121.4238,10.56,96,20,1.54,US,1702306181
195,magadan,59.5667,150.8,-5.87,93,100,5.81,RU,1702306181
196,cox's bazar,21.4532,91.9798,19.3,76,1,3.33,BD,1702306181
197,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1702306181
198,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702306181
199,port augusta,-32.5,137.7667,19.66,58,18,1.66,AU,1702306181
200,ust-nera,64.5667,143.2,-21.42,99,100,3.37,RU,1702306181
201,enewetak,11.3474,162.3373,27.87,77,59,6.62,MH,1702306182
202,sao joao da barra,-21.6403,-41.0511,30.05,73,100,5.49,BR,1702306182
203,aripuana,-9.1667,-60.6333,35.82,41,93,1.39,BR,1702306182
204,wolgast,54.05,13.7667,5.01,100,100,1.85,DE,1702306182
205,yung shue wan,22.2333,114.1167,24.06,87,2,0.38,HK,1702306182
206,tongging,2.8969,98.5262,21.19,95,99,1.05,ID,1702306182
207,tofol,5.3248,163.0078,27.74,80,69,6.35,FM,1702306182
208,yamada,39.4667,141.95,7.23,75,100,2.69,JP,1702306182
209,saipan,15.1355,145.701,27.39,83,75,5.66,MP,1702306182
210,iqaluit,63.7506,-68.5145,-18.15,78,75,11.32,CA,1702306182
211,basoko,1.2391,23.616,28.09,69,97,0.76,CD,1702306182
212,amga,60.8953,131.9608,-28.3,95,100,3.13,RU,1702306182
213,flin flon,54.7682,-101.865,-8.09,79,75,7.72,CA,1702306032
214,dunedin,-45.8742,170.5036,11.0,72,83,4.02,NZ,1702306182
215,kolonia,50.9333,6.95,10.97,83,100,6.69,DE,1702306182
216,ilulissat,69.2167,-51.1,-0.99,86,100,6.17,GL,1702306183
217,bilibino,68.0546,166.4372,-17.97,94,100,1.47,RU,1702306183
218,pesqueria,25.7833,-100.05,16.31,36,100,0.32,MX,1702306183
219,litayan,7.3358,124.0347,27.5,76,9,1.25,PH,1702306183
220,nemuro,43.3236,145.575,1.41,53,94,1.24,JP,1702306183
